rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,河北,唐山,179,中度污染,135,PM2.5,2019-01-01,2025-03-08 22:46:43
1,河北,唐山,179,中度污染,135,PM2.5,2019-01-01,2025-03-08 22:46:43
2,天津,天津,175,中度污染,132,PM2.5,2019-01-01,2025-03-08 22:46:43
3,河北,廊坊,158,中度污染,120,PM2.5,2019-01-01,2025-03-08 22:46:43
4,湖北,随州,152,中度污染,116,PM2.5,2019-01-01,2025-03-08 22:46:43
5,山东,潍坊,145,轻度污染,111,PM2.5,2019-01-01,2025-03-08 22:46:43
6,山东,东营,142,轻度污染,108,PM2.5,2019-01-01,2025-03-08 22:46:43
7,吉林,长春,142,轻度污染,108,PM2.5,2019-01-01,2025-03-08 22:46:43
8,辽宁,沈阳,138,轻度污染,105,PM2.5,2019-01-01,2025-03-08 22:46:43
9,河北,秦皇岛,134,轻度污染,102,PM2.5,2019-01-01,2025-03-08 22:46:43
10,河北,沧州,127,轻度污染,96,PM2.5,2019-01-01,2025-03-08 22:46:43
11,辽宁,锦州,123,轻度污染,93,PM2.5,2019-01-01,2025-03-08 22:46:43
12,河北,保定,122,轻度污染,92,PM2.5,2019-01-01,2025-03-08 22:46:43
13,山东,淄博,122,轻度污染,92,PM2.5,2019-01-01,2025-03-08 22:46:43
14,北京,北京,119,轻度污染,90,PM2.5,2019-01-01,2025-03-08 22:46:43
15,山东,青岛,119,轻度污染,90,PM2.5,2019-01-01,2025-03-08 22:46:43
16,辽宁,朝阳,118,轻度污染,89,PM2.5,2019-01-01,2025-03-08 22:46:43
17,江苏,连云港,117,轻度污染,88,PM2.5,2019-01-01,2025-03-08 22:46:43
18,辽宁,葫芦岛,115,轻度污染,87,PM2.5,2019-01-01,2025-03-08 22:46:43
19,山东,滨州,114,轻度污染,86,PM2.5,2019-01-01,2025-03-08 22:46:43
20,陕西,宝鸡,112,轻度污染,84,PM2.5,2019-01-01,2025-03-08 22:46:43
21,山东,德州,109,轻度污染,82,PM2.5,2019-01-01,2025-03-08 22:46:43
22,江苏,扬州,109,轻度污染,82,PM2.5,2019-01-01,2025-03-08 22:46:43
23,江苏,泰州,108,轻度污染,81,PM2.5,2019-01-01,2025-03-08 22:46:43
24,湖北,孝感,107,轻度污染,80,PM2.5,2019-01-01,2025-03-08 22:46:43
25,山东,泰安,107,轻度污染,80,PM2.5,2019-01-01,2025-03-08 22:46:43
26,山东,济宁,107,轻度污染,80,PM2.5,2019-01-01,2025-03-08 22:46:43
27,河南,开封,105,轻度污染,79,PM2.5,2019-01-01,2025-03-08 22:46:43
28,江苏,淮安,104,轻度污染,78,PM2.5,2019-01-01,2025-03-08 22:46:43
29,安徽,滁州,104,轻度污染,78,PM2.5,2019-01-01,2025-03-08 22:46:43
30,山东,临沂,103,轻度污染,77,PM2.5,2019-01-01,2025-03-08 22:46:43
31,江苏,镇江,103,轻度污染,77,PM2.5,2019-01-01,2025-03-08 22:46:43
32,江苏,南通,102,轻度污染,76,PM2.5,2019-01-01,2025-03-08 22:46:43
33,山东,济南,102,轻度污染,76,PM2.5,2019-01-01,2025-03-08 22:46:43
34,安徽,蚌埠,102,轻度污染,76,PM2.5,2019-01-01,2025-03-08 22:46:43
35,山西,临汾,100,良,46,PM10,2019-01-01,2025-03-08 22:46:43
36,辽宁,大连,100,良,75,PM2.5,2019-01-01,2025-03-08 22:46:43
37,浙江,湖州,100,良,75,PM2.5,2019-01-01,2025-03-08 22:46:43
38,安徽,阜阳,100,良,75,PM2.5,2019-01-01,2025-03-08 22:46:43
39,浙江,杭州,99,良,74,PM2.5,2019-01-01,2025-03-08 22:46:43
40,安徽,淮南,99,良,74,PM2.5,2019-01-01,2025-03-08 22:46:43
41,江苏,常州,98,良,73,PM2.5,2019-01-01,2025-03-08 22:46:43
42,河南,平顶山,98,良,73,PM2.5,2019-01-01,2025-03-08 22:46:43
43,山东,日照,98,良,73,PM2.5,2019-01-01,2025-03-08 22:46:43
44,江苏,盐城,95,良,71,PM2.5,2019-01-01,2025-03-08 22:46:43
45,安徽,合肥,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
46,河南,商丘,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
47,浙江,嘉兴,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
48,安徽,宣城,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
49,江苏,徐州,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
50,河南,濮阳,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
51,浙江,绍兴,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
52,山东,聊城,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
53,安徽,芜湖,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
54,山东,菏泽,94,良,70,PM2.5,2019-01-01,2025-03-08 22:46:43
55,安徽,宿州,93,良,69,PM2.5,2019-01-01,2025-03-08 22:46:43
56,甘肃,兰州,92,良,68,PM2.5,2019-01-01,2025-03-08 22:46:43
57,河北,邢台,92,良,68,PM2.5,2019-01-01,2025-03-08 22:46:43
58,内蒙古,呼和浩特,91,良,55,PM10,2019-01-01,2025-03-08 22:46:43
59,江苏,南京,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
60,河南,周口,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
61,山东,枣庄,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
62,湖北,武汉,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
63,江苏,苏州,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
64,安徽,马鞍山,90,良,67,PM2.5,2019-01-01,2025-03-08 22:46:43
65,河南,洛阳,89,良,66,PM2.5,2019-01-01,2025-03-08 22:46:43
66,湖北,襄阳,89,良,66,PM2.5,2019-01-01,2025-03-08 22:46:43
67,河南,鹤壁,89,良,66,PM2.5,2019-01-01,2025-03-08 22:46:43
68,河南,安阳,88,良,65,PM2.5,2019-01-01,2025-03-08 22:46:43
69,河南,漯河,88,良,65,PM2.5,2019-01-01,2025-03-08 22:46:43
70,河北,衡水,88,良,65,PM2.5,2019-01-01,2025-03-08 22:46:43
71,陕西,咸阳,85,良,63,PM10,2019-01-01,2025-03-08 22:46:43
72,黑龙江,哈尔滨,85,良,63,PM2.5,2019-01-01,2025-03-08 22:46:43
73,湖北,宜昌,85,良,63,PM2.5,2019-01-01,2025-03-08 22:46:43
74,安徽,淮北,85,良,63,PM2.5,2019-01-01,2025-03-08 22:46:43
75,宁夏,银川,85,良,55,PM10,2019-01-01,2025-03-08 22:46:43
76,河南,南阳,84,良,62,PM2.5,2019-01-01,2025-03-08 22:46:43
77,湖北,荆州,84,良,62,PM2.5,2019-01-01,2025-03-08 22:46:43
78,内蒙古,包头,83,良,43,PM10,2019-01-01,2025-03-08 22:46:43
79,河北,石家庄,83,良,61,PM2.5,2019-01-01,2025-03-08 22:46:43
80,安徽,安庆,82,良,60,PM2.5,2019-01-01,2025-03-08 22:46:43
81,河南,许昌,82,良,60,PM2.5,2019-01-01,2025-03-08 22:46:43
82,河南,郑州,82,良,60,PM2.5,2019-01-01,2025-03-08 22:46:43
83,江苏,宿迁,80,良,59,PM2.5,2019-01-01,2025-03-08 22:46:43
84,江苏,无锡,80,良,59,PM2.5,2019-01-01,2025-03-08 22:46:43
85,河北,邯郸,80,良,59,PM2.5,2019-01-01,2025-03-08 22:46:43
86,安徽,亳州,79,良,58,PM2.5,2019-01-01,2025-03-08 22:46:43
87,河北,承德,79,良,58,PM2.5,2019-01-01,2025-03-08 22:46:43
88,河南,新乡,79,良,58,PM2.5,2019-01-01,2025-03-08 22:46:43
89,湖北,荆门,78,良,57,PM2.5,2019-01-01,2025-03-08 22:46:43
90,山西,阳泉,78,良,57,PM2.5,2019-01-01,2025-03-08 22:46:43
91,安徽,池州,77,良,56,PM2.5,2019-01-01,2025-03-08 22:46:43
92,河南,焦作,77,良,56,PM2.5,2019-01-01,2025-03-08 22:46:43
93,山西,吕梁,76,良,48,PM10,2019-01-01,2025-03-08 22:46:43
94,安徽,六安,75,良,55,PM2.5,2019-01-01,2025-03-08 22:46:43
95,湖北,咸宁,75,良,55,PM2.5,2019-01-01,2025-03-08 22:46:43
96,河南,三门峡,74,良,51,PM10,2019-01-01,2025-03-08 22:46:43
97,浙江,台州,74,良,54,PM2.5,2019-01-01,2025-03-08 22:46:43
98,山西,忻州,73,良,52,PM10,2019-01-01,2025-03-08 22:46:43
99,四川,泸州,73,良,53,PM2.5,2019-01-01,2025-03-08 22:46:43
100,浙江,衢州,73,良,53,PM2.5,2019-01-01,2025-03-08 22:46:43
101,江西,九江,72,良,52,PM2.5,2019-01-01,2025-03-08 22:46:43
102,山西,太原,72,良,44,PM10,2019-01-01,2025-03-08 22:46:43
103,湖南,湘潭,72,良,52,PM2.5,2019-01-01,2025-03-08 22:46:43
104,山西,运城,72,良,41,PM10,2019-01-01,2025-03-08 22:46:43
105,山西,晋中,71,良,43,PM10,2019-01-01,2025-03-08 22:46:43
106,山西,朔州,70,良,50,PM10,2019-01-01,2025-03-08 22:46:43
107,陕西,铜川,70,良,44,PM10,2019-01-01,2025-03-08 22:46:43
108,安徽,铜陵,70,良,51,PM2.5,2019-01-01,2025-03-08 22:46:43
109,河南,信阳,69,良,50,PM2.5,2019-01-01,2025-03-08 22:46:43
110,浙江,宁波,69,良,50,PM2.5,2019-01-01,2025-03-08 22:46:43
111,四川,广安,69,良,50,PM2.5,2019-01-01,2025-03-08 22:46:43
112,浙江,温州,69,良,50,PM2.5,2019-01-01,2025-03-08 22:46:43
113,河南,驻马店,69,良,50,PM2.5,2019-01-01,2025-03-08 22:46:43
114,湖北,黄冈,68,良,49,PM2.5,2019-01-01,2025-03-08 22:46:43
115,浙江,金华,66,良,46,PM10,2019-01-01,2025-03-08 22:46:43
116,湖南,株洲,65,良,47,PM2.5,2019-01-01,2025-03-08 22:46:43
117,湖南,常德,64,良,46,PM2.5,2019-01-01,2025-03-08 22:46:43
118,山西,晋城,64,良,39,PM10,2019-01-01,2025-03-08 22:46:43
119,陕西,渭南,63,良,35,PM10,2019-01-01,2025-03-08 22:46:43
120,山西,大同,62,良,43,PM10,2019-01-01,2025-03-08 22:46:43
121,湖北,鄂州,62,良,44,PM2.5,2019-01-01,2025-03-08 22:46:43
122,山西,长治,62,良,44,PM2.5,2019-01-01,2025-03-08 22:46:43
123,江西,南昌,60,良,43,PM2.5,2019-01-01,2025-03-08 22:46:43
124,河北,张家口,60,良,37,PM10,2019-01-01,2025-03-08 22:46:43
125,四川,达州,60,良,40,PM10,2019-01-01,2025-03-08 22:46:43
126,四川,南充,59,良,42,PM2.5,2019-01-01,2025-03-08 22:46:43
127,陕西,西安,59,良,32,PM10,2019-01-01,2025-03-08 22:46:43
128,湖南,长沙,59,良,41,PM10,2019-01-01,2025-03-08 22:46:43
129,湖南,岳阳,57,良,40,PM2.5,2019-01-01,2025-03-08 22:46:43
130,四川,资阳,57,良,40,PM2.5,2019-01-01,2025-03-08 22:46:43
131,湖北,黄石,57,良,40,PM2.5,2019-01-01,2025-03-08 22:46:43
132,江西,宜春,56,良,31,PM10,2019-01-01,2025-03-08 22:46:43
133,广东,中山,55,良,34,PM10,2019-01-01,2025-03-08 22:46:43
134,广西,南宁,55,良,39,PM2.5,2019-01-01,2025-03-08 22:46:43
135,四川,德阳,55,良,39,PM2.5,2019-01-01,2025-03-08 22:46:43
136,安徽,黄山,55,良,32,PM10,2019-01-01,2025-03-08 22:46:43
137,江西,新余,54,良,34,PM10,2019-01-01,2025-03-08 22:46:43
138,广东,珠海,54,良,38,PM2.5,2019-01-01,2025-03-08 22:46:43
139,江西,萍乡,54,良,38,PM2.5,2019-01-01,2025-03-08 22:46:43
140,重庆,重庆,54,良,38,PM2.5,2019-01-01,2025-03-08 22:46:43
141,浙江,丽水,53,良,37,PM2.5,2019-01-01,2025-03-08 22:46:43
142,广东,佛山,53,良,29,PM10,2019-01-01,2025-03-08 22:46:43
143,四川,内江,53,良,37,PM2.5,2019-01-01,2025-03-08 22:46:43
144,湖南,益阳,53,良,37,PM2.5,2019-01-01,2025-03-08 22:46:43
145,四川,绵阳,53,良,37,PM2.5,2019-01-01,2025-03-08 22:46:43
146,青海,西宁,53,良,28,PM10,2019-01-01,2025-03-08 22:46:43
147,四川,自贡,51,良,32,PM10,2019-01-01,2025-03-08 22:46:43
148,广东,江门,49,优,30,,2019-01-01,2025-03-08 22:46:43
149,四川,遂宁,49,优,30,,2019-01-01,2025-03-08 22:46:43
150,广东,广州,47,优,28,,2019-01-01,2025-03-08 22:46:43
151,广东,东莞,45,优,28,,2019-01-01,2025-03-08 22:46:43
152,广东,深圳,44,优,26,,2019-01-01,2025-03-08 22:46:43
153,四川,乐山,43,优,30,,2019-01-01,2025-03-08 22:46:43
154,四川,成都,43,优,30,,2019-01-01,2025-03-08 22:46:43
155,云南,昆明,43,优,30,,2019-01-01,2025-03-08 22:46:43
156,四川,眉山,43,优,30,,2019-01-01,2025-03-08 22:46:43
157,福建,厦门,40,优,21,,2019-01-01,2025-03-08 22:46:43
158,福建,福州,40,优,27,,2019-01-01,2025-03-08 22:46:43
159,四川,宜宾,39,优,27,,2019-01-01,2025-03-08 22:46:43
160,新疆,乌鲁木齐,37,优,17,,2019-01-01,2025-03-08 22:46:43
161,四川,雅安,36,优,25,,2019-01-01,2025-03-08 22:46:43
162,上海,上海,33,优,23,,2019-01-01,2025-03-08 22:46:43
163,贵州,贵阳,33,优,23,,2019-01-01,2025-03-08 22:46:43
164,广东,惠州,31,优,19,,2019-01-01,2025-03-08 22:46:43
165,西藏,拉萨,30,优,13,,2019-01-01,2025-03-08 22:46:43
166,浙江,舟山,30,优,16,,2019-01-01,2025-03-08 22:46:43
167,广东,肇庆,29,优,20,,2019-01-01,2025-03-08 22:46:43
168,海南,海口,22,优,14,,2019-01-01,2025-03-08 22:46:43
1,河北,唐山,179,中度污染,135,PM2.5,2019-01-02,2025-03-08 22:46:46
1,河北,唐山,179,中度污染,135,PM2.5,2019-01-02,2025-03-08 22:46:46
2,天津,天津,175,中度污染,132,PM2.5,2019-01-02,2025-03-08 22:46:46
3,河北,廊坊,158,中度污染,120,PM2.5,2019-01-02,2025-03-08 22:46:46
4,湖北,随州,152,中度污染,116,PM2.5,2019-01-02,2025-03-08 22:46:46
5,山东,潍坊,145,轻度污染,111,PM2.5,2019-01-02,2025-03-08 22:46:46
6,山东,东营,142,轻度污染,108,PM2.5,2019-01-02,2025-03-08 22:46:46
7,吉林,长春,142,轻度污染,108,PM2.5,2019-01-02,2025-03-08 22:46:46
8,辽宁,沈阳,138,轻度污染,105,PM2.5,2019-01-02,2025-03-08 22:46:46
9,河北,秦皇岛,134,轻度污染,102,PM2.5,2019-01-02,2025-03-08 22:46:46
10,河北,沧州,127,轻度污染,96,PM2.5,2019-01-02,2025-03-08 22:46:46
11,辽宁,锦州,123,轻度污染,93,PM2.5,2019-01-02,2025-03-08 22:46:46
12,河北,保定,122,轻度污染,92,PM2.5,2019-01-02,2025-03-08 22:46:46
13,山东,淄博,122,轻度污染,92,PM2.5,2019-01-02,2025-03-08 22:46:46
14,北京,北京,119,轻度污染,90,PM2.5,2019-01-02,2025-03-08 22:46:46
15,山东,青岛,119,轻度污染,90,PM2.5,2019-01-02,2025-03-08 22:46:46
16,辽宁,朝阳,118,轻度污染,89,PM2.5,2019-01-02,2025-03-08 22:46:46
17,江苏,连云港,117,轻度污染,88,PM2.5,2019-01-02,2025-03-08 22:46:46
18,辽宁,葫芦岛,115,轻度污染,87,PM2.5,2019-01-02,2025-03-08 22:46:46
19,山东,滨州,114,轻度污染,86,PM2.5,2019-01-02,2025-03-08 22:46:46
20,陕西,宝鸡,112,轻度污染,84,PM2.5,2019-01-02,2025-03-08 22:46:46
21,山东,德州,109,轻度污染,82,PM2.5,2019-01-02,2025-03-08 22:46:46
22,江苏,扬州,109,轻度污染,82,PM2.5,2019-01-02,2025-03-08 22:46:46
23,江苏,泰州,108,轻度污染,81,PM2.5,2019-01-02,2025-03-08 22:46:46
24,湖北,孝感,107,轻度污染,80,PM2.5,2019-01-02,2025-03-08 22:46:46
25,山东,泰安,107,轻度污染,80,PM2.5,2019-01-02,2025-03-08 22:46:46
26,山东,济宁,107,轻度污染,80,PM2.5,2019-01-02,2025-03-08 22:46:46
27,河南,开封,105,轻度污染,79,PM2.5,2019-01-02,2025-03-08 22:46:46
28,江苏,淮安,104,轻度污染,78,PM2.5,2019-01-02,2025-03-08 22:46:46
29,安徽,滁州,104,轻度污染,78,PM2.5,2019-01-02,2025-03-08 22:46:46
30,山东,临沂,103,轻度污染,77,PM2.5,2019-01-02,2025-03-08 22:46:46
31,江苏,镇江,103,轻度污染,77,PM2.5,2019-01-02,2025-03-08 22:46:46
32,江苏,南通,102,轻度污染,76,PM2.5,2019-01-02,2025-03-08 22:46:46
33,山东,济南,102,轻度污染,76,PM2.5,2019-01-02,2025-03-08 22:46:46
34,安徽,蚌埠,102,轻度污染,76,PM2.5,2019-01-02,2025-03-08 22:46:46
35,山西,临汾,100,良,46,PM10,2019-01-02,2025-03-08 22:46:46
36,辽宁,大连,100,良,75,PM2.5,2019-01-02,2025-03-08 22:46:46
37,浙江,湖州,100,良,75,PM2.5,2019-01-02,2025-03-08 22:46:46
38,安徽,阜阳,100,良,75,PM2.5,2019-01-02,2025-03-08 22:46:46
39,浙江,杭州,99,良,74,PM2.5,2019-01-02,2025-03-08 22:46:46
40,安徽,淮南,99,良,74,PM2.5,2019-01-02,2025-03-08 22:46:46
41,江苏,常州,98,良,73,PM2.5,2019-01-02,2025-03-08 22:46:46
