rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,河北,唐山,175,中度污染,132,PM2.5,2016-01-01,2025-03-08 21:56:54
1,河北,唐山,175,中度污染,132,PM2.5,2016-01-01,2025-03-08 21:56:54
2,天津,天津,166,中度污染,126,PM2.5,2016-01-01,2025-03-08 21:56:54
3,河北,廊坊,166,中度污染,126,PM2.5,2016-01-01,2025-03-08 21:56:54
4,山东,潍坊,145,轻度污染,111,PM2.5,2016-01-01,2025-03-08 21:56:54
5,山东,东营,140,轻度污染,107,PM2.5,2016-01-01,2025-03-08 21:56:54
6,辽宁,沈阳,130,轻度污染,99,PM2.5,2016-01-01,2025-03-08 21:56:54
7,河北,沧州,125,轻度污染,95,PM2.5,2016-01-01,2025-03-08 21:56:54
8,河北,保定,124,轻度污染,94,PM2.5,2016-01-01,2025-03-08 21:56:54
9,河北,秦皇岛,124,轻度污染,94,PM2.5,2016-01-01,2025-03-08 21:56:54
10,吉林,长春,123,轻度污染,93,PM2.5,2016-01-01,2025-03-08 21:56:54
11,山东,青岛,123,轻度污染,93,PM2.5,2016-01-01,2025-03-08 21:56:54
12,浙江,嘉兴,120,轻度污染,91,PM2.5,2016-01-01,2025-03-08 21:56:54
13,辽宁,锦州,119,轻度污染,90,PM2.5,2016-01-01,2025-03-08 21:56:54
14,陕西,宝鸡,117,轻度污染,88,PM2.5,2016-01-01,2025-03-08 21:56:54
15,辽宁,朝阳,117,轻度污染,88,PM2.5,2016-01-01,2025-03-08 21:56:54
16,山东,淄博,117,轻度污染,88,PM2.5,2016-01-01,2025-03-08 21:56:54
17,江苏,连云港,117,轻度污染,88,PM2.5,2016-01-01,2025-03-08 21:56:54
18,湖北,随州,114,轻度污染,86,PM2.5,2016-01-01,2025-03-08 21:56:54
19,北京,北京,113,轻度污染,85,PM2.5,2016-01-01,2025-03-08 21:56:54
20,江苏,淮安,109,轻度污染,82,PM2.5,2016-01-01,2025-03-08 21:56:54
21,山东,德州,107,轻度污染,80,PM2.5,2016-01-01,2025-03-08 21:56:54
22,江苏,常州,105,轻度污染,79,PM2.5,2016-01-01,2025-03-08 21:56:54
23,山东,泰安,105,轻度污染,79,PM2.5,2016-01-01,2025-03-08 21:56:54
24,安徽,滁州,105,轻度污染,79,PM2.5,2016-01-01,2025-03-08 21:56:54
25,辽宁,葫芦岛,105,轻度污染,79,PM2.5,2016-01-01,2025-03-08 21:56:54
26,江苏,南通,104,轻度污染,78,PM2.5,2016-01-01,2025-03-08 21:56:54
27,江苏,扬州,104,轻度污染,78,PM2.5,2016-01-01,2025-03-08 21:56:54
28,山东,济宁,104,轻度污染,78,PM2.5,2016-01-01,2025-03-08 21:56:54
29,山东,滨州,102,轻度污染,76,PM2.5,2016-01-01,2025-03-08 21:56:54
30,山东,日照,100,良,75,PM2.5,2016-01-01,2025-03-08 21:56:54
31,山东,临沂,99,良,74,PM2.5,2016-01-01,2025-03-08 21:56:54
32,江苏,泰州,99,良,74,PM2.5,2016-01-01,2025-03-08 21:56:54
33,山东,济南,98,良,73,PM2.5,2016-01-01,2025-03-08 21:56:54
34,安徽,淮南,98,良,73,PM2.5,2016-01-01,2025-03-08 21:56:54
35,江苏,盐城,98,良,73,PM2.5,2016-01-01,2025-03-08 21:56:54
36,江苏,镇江,98,良,73,PM2.5,2016-01-01,2025-03-08 21:56:54
37,山西,临汾,97,良,46,PM10,2016-01-01,2025-03-08 21:56:54
38,陕西,咸阳,97,良,72,PM2.5,2016-01-01,2025-03-08 21:56:54
39,安徽,蚌埠,97,良,72,PM2.5,2016-01-01,2025-03-08 21:56:54
40,安徽,合肥,95,良,71,PM2.5,2016-01-01,2025-03-08 21:56:54
41,河南,开封,95,良,71,PM2.5,2016-01-01,2025-03-08 21:56:54
42,浙江,绍兴,95,良,71,PM2.5,2016-01-01,2025-03-08 21:56:54
43,山东,聊城,95,良,71,PM2.5,2016-01-01,2025-03-08 21:56:54
44,河南,商丘,94,良,70,PM2.5,2016-01-01,2025-03-08 21:56:54
45,辽宁,大连,94,良,70,PM2.5,2016-01-01,2025-03-08 21:56:54
46,浙江,杭州,94,良,70,PM2.5,2016-01-01,2025-03-08 21:56:54
47,浙江,湖州,94,良,70,PM2.5,2016-01-01,2025-03-08 21:56:54
48,湖北,武汉,93,良,69,PM2.5,2016-01-01,2025-03-08 21:56:54
49,山东,菏泽,93,良,69,PM2.5,2016-01-01,2025-03-08 21:56:54
50,安徽,阜阳,93,良,69,PM2.5,2016-01-01,2025-03-08 21:56:54
51,安徽,宣城,92,良,68,PM2.5,2016-01-01,2025-03-08 21:56:54
52,内蒙古,呼和浩特,90,良,53,PM10,2016-01-01,2025-03-08 21:56:54
53,河南,濮阳,90,良,67,PM2.5,2016-01-01,2025-03-08 21:56:54
54,河南,鹤壁,90,良,67,PM2.5,2016-01-01,2025-03-08 21:56:54
55,甘肃,兰州,89,良,66,PM2.5,2016-01-01,2025-03-08 21:56:54
56,河南,平顶山,89,良,66,PM2.5,2016-01-01,2025-03-08 21:56:54
57,山东,枣庄,89,良,66,PM2.5,2016-01-01,2025-03-08 21:56:54
58,河北,衡水,89,良,66,PM2.5,2016-01-01,2025-03-08 21:56:54
59,安徽,马鞍山,89,良,66,PM2.5,2016-01-01,2025-03-08 21:56:54
60,安徽,宿州,88,良,65,PM2.5,2016-01-01,2025-03-08 21:56:54
61,河南,洛阳,88,良,65,PM2.5,2016-01-01,2025-03-08 21:56:54
62,安徽,芜湖,88,良,65,PM2.5,2016-01-01,2025-03-08 21:56:54
63,河北,邢台,88,良,65,PM2.5,2016-01-01,2025-03-08 21:56:54
