rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,河北,唐山,175,中度污染,132,PM2.5,2018-01-01,2025-03-08 22:30:32
1,河北,唐山,175,中度污染,132,PM2.5,2018-01-01,2025-03-08 22:30:32
2,天津,天津,166,中度污染,126,PM2.5,2018-01-01,2025-03-08 22:30:32
3,河北,廊坊,166,中度污染,126,PM2.5,2018-01-01,2025-03-08 22:30:32
4,山东,潍坊,145,轻度污染,111,PM2.5,2018-01-01,2025-03-08 22:30:32
5,山东,东营,140,轻度污染,107,PM2.5,2018-01-01,2025-03-08 22:30:32
6,辽宁,沈阳,130,轻度污染,99,PM2.5,2018-01-01,2025-03-08 22:30:32
7,河北,沧州,125,轻度污染,95,PM2.5,2018-01-01,2025-03-08 22:30:32
8,河北,保定,124,轻度污染,94,PM2.5,2018-01-01,2025-03-08 22:30:32
9,河北,秦皇岛,124,轻度污染,94,PM2.5,2018-01-01,2025-03-08 22:30:32
10,吉林,长春,123,轻度污染,93,PM2.5,2018-01-01,2025-03-08 22:30:32
11,山东,青岛,123,轻度污染,93,PM2.5,2018-01-01,2025-03-08 22:30:32
12,浙江,嘉兴,120,轻度污染,91,PM2.5,2018-01-01,2025-03-08 22:30:32
13,辽宁,锦州,119,轻度污染,90,PM2.5,2018-01-01,2025-03-08 22:30:32
14,陕西,宝鸡,117,轻度污染,88,PM2.5,2018-01-01,2025-03-08 22:30:32
15,辽宁,朝阳,117,轻度污染,88,PM2.5,2018-01-01,2025-03-08 22:30:32
16,山东,淄博,117,轻度污染,88,PM2.5,2018-01-01,2025-03-08 22:30:32
17,江苏,连云港,117,轻度污染,88,PM2.5,2018-01-01,2025-03-08 22:30:32
18,湖北,随州,114,轻度污染,86,PM2.5,2018-01-01,2025-03-08 22:30:32
19,北京,北京,113,轻度污染,85,PM2.5,2018-01-01,2025-03-08 22:30:32
20,江苏,淮安,109,轻度污染,82,PM2.5,2018-01-01,2025-03-08 22:30:32
21,山东,德州,107,轻度污染,80,PM2.5,2018-01-01,2025-03-08 22:30:32
