rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,天津,天津,182,中度污染,137,PM2.5,2023-01-01,2025-03-08 23:52:08
1,天津,天津,182,中度污染,137,PM2.5,2023-01-01,2025-03-08 23:52:08
2,河北,唐山,172,中度污染,130,PM2.5,2023-01-01,2025-03-08 23:52:08
3,河北,廊坊,155,中度污染,118,PM2.5,2023-01-01,2025-03-08 23:52:08
4,辽宁,沈阳,152,中度污染,116,PM2.5,2023-01-01,2025-03-08 23:52:08
5,山东,潍坊,152,中度污染,116,PM2.5,2023-01-01,2025-03-08 23:52:08
6,吉林,长春,152,中度污染,116,PM2.5,2023-01-01,2025-03-08 23:52:08
7,湖北,随州,145,轻度污染,111,PM2.5,2023-01-01,2025-03-08 23:52:08
8,山东,东营,143,轻度污染,109,PM2.5,2023-01-01,2025-03-08 23:52:08
9,辽宁,朝阳,134,轻度污染,102,PM2.5,2023-01-01,2025-03-08 23:52:08
10,辽宁,锦州,134,轻度污染,102,PM2.5,2023-01-01,2025-03-08 23:52:08
11,河北,秦皇岛,129,轻度污染,98,PM2.5,2023-01-01,2025-03-08 23:52:08
12,辽宁,葫芦岛,124,轻度污染,94,PM2.5,2023-01-01,2025-03-08 23:52:08
13,北京,北京,123,轻度污染,93,PM2.5,2023-01-01,2025-03-08 23:52:08
14,山东,淄博,123,轻度污染,93,PM2.5,2023-01-01,2025-03-08 23:52:08
15,河北,保定,120,轻度污染,91,PM2.5,2023-01-01,2025-03-08 23:52:08
16,江苏,连云港,120,轻度污染,91,PM2.5,2023-01-01,2025-03-08 23:52:08
17,河北,沧州,119,轻度污染,90,PM2.5,2023-01-01,2025-03-08 23:52:08
18,湖北,孝感,117,轻度污染,88,PM2.5,2023-01-01,2025-03-08 23:52:08
19,江苏,泰州,117,轻度污染,88,PM2.5,2023-01-01,2025-03-08 23:52:08
20,山东,德州,114,轻度污染,86,PM2.5,2023-01-01,2025-03-08 23:52:08
21,山东,滨州,113,轻度污染,85,PM2.5,2023-01-01,2025-03-08 23:52:08
22,河南,开封,110,轻度污染,83,PM2.5,2023-01-01,2025-03-08 23:52:08
23,江苏,扬州,110,轻度污染,83,PM2.5,2023-01-01,2025-03-08 23:52:08
24,浙江,湖州,110,轻度污染,83,PM2.5,2023-01-01,2025-03-08 23:52:08
25,山东,青岛,110,轻度污染,83,PM2.5,2023-01-01,2025-03-08 23:52:08
26,山东,临沂,109,轻度污染,82,PM2.5,2023-01-01,2025-03-08 23:52:08
27,山东,泰安,109,轻度污染,82,PM2.5,2023-01-01,2025-03-08 23:52:08
28,安徽,蚌埠,108,轻度污染,81,PM2.5,2023-01-01,2025-03-08 23:52:08
29,辽宁,大连,107,轻度污染,80,PM2.5,2023-01-01,2025-03-08 23:52:08
30,江苏,淮安,105,轻度污染,79,PM2.5,2023-01-01,2025-03-08 23:52:08
31,安徽,滁州,105,轻度污染,79,PM2.5,2023-01-01,2025-03-08 23:52:08
32,江苏,镇江,104,轻度污染,78,PM2.5,2023-01-01,2025-03-08 23:52:08
33,陕西,宝鸡,103,轻度污染,77,PM2.5,2023-01-01,2025-03-08 23:52:08
34,浙江,杭州,103,轻度污染,77,PM2.5,2023-01-01,2025-03-08 23:52:08
35,安徽,阜阳,103,轻度污染,77,PM2.5,2023-01-01,2025-03-08 23:52:08
