rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,河北,唐山,179,中度污染,135,PM2.5,2021-01-01,2025-03-08 23:19:07
1,河北,唐山,179,中度污染,135,PM2.5,2021-01-01,2025-03-08 23:19:07
2,天津,天津,175,中度污染,132,PM2.5,2021-01-01,2025-03-08 23:19:07
3,河北,廊坊,158,中度污染,120,PM2.5,2021-01-01,2025-03-08 23:19:07
4,湖北,随州,152,中度污染,116,PM2.5,2021-01-01,2025-03-08 23:19:07
5,山东,潍坊,145,轻度污染,111,PM2.5,2021-01-01,2025-03-08 23:19:07
6,山东,东营,142,轻度污染,108,PM2.5,2021-01-01,2025-03-08 23:19:07
7,吉林,长春,142,轻度污染,108,PM2.5,2021-01-01,2025-03-08 23:19:07
8,辽宁,沈阳,138,轻度污染,105,PM2.5,2021-01-01,2025-03-08 23:19:07
9,河北,秦皇岛,134,轻度污染,102,PM2.5,2021-01-01,2025-03-08 23:19:07
10,河北,沧州,127,轻度污染,96,PM2.5,2021-01-01,2025-03-08 23:19:07
11,辽宁,锦州,123,轻度污染,93,PM2.5,2021-01-01,2025-03-08 23:19:07
12,河北,保定,122,轻度污染,92,PM2.5,2021-01-01,2025-03-08 23:19:07
13,山东,淄博,122,轻度污染,92,PM2.5,2021-01-01,2025-03-08 23:19:07
14,北京,北京,119,轻度污染,90,PM2.5,2021-01-01,2025-03-08 23:19:07
15,山东,青岛,119,轻度污染,90,PM2.5,2021-01-01,2025-03-08 23:19:07
16,辽宁,朝阳,118,轻度污染,89,PM2.5,2021-01-01,2025-03-08 23:19:07
17,江苏,连云港,117,轻度污染,88,PM2.5,2021-01-01,2025-03-08 23:19:07
18,辽宁,葫芦岛,115,轻度污染,87,PM2.5,2021-01-01,2025-03-08 23:19:07
19,山东,滨州,114,轻度污染,86,PM2.5,2021-01-01,2025-03-08 23:19:07
20,陕西,宝鸡,112,轻度污染,84,PM2.5,2021-01-01,2025-03-08 23:19:07
21,山东,德州,109,轻度污染,82,PM2.5,2021-01-01,2025-03-08 23:19:07
22,江苏,扬州,109,轻度污染,82,PM2.5,2021-01-01,2025-03-08 23:19:07
23,江苏,泰州,108,轻度污染,81,PM2.5,2021-01-01,2025-03-08 23:19:07
24,湖北,孝感,107,轻度污染,80,PM2.5,2021-01-01,2025-03-08 23:19:07
25,山东,泰安,107,轻度污染,80,PM2.5,2021-01-01,2025-03-08 23:19:07
26,山东,济宁,107,轻度污染,80,PM2.5,2021-01-01,2025-03-08 23:19:07
27,河南,开封,105,轻度污染,79,PM2.5,2021-01-01,2025-03-08 23:19:07
28,江苏,淮安,104,轻度污染,78,PM2.5,2021-01-01,2025-03-08 23:19:07
29,安徽,滁州,104,轻度污染,78,PM2.5,2021-01-01,2025-03-08 23:19:07
30,山东,临沂,103,轻度污染,77,PM2.5,2021-01-01,2025-03-08 23:19:07
31,江苏,镇江,103,轻度污染,77,PM2.5,2021-01-01,2025-03-08 23:19:07
32,江苏,南通,102,轻度污染,76,PM2.5,2021-01-01,2025-03-08 23:19:07
33,山东,济南,102,轻度污染,76,PM2.5,2021-01-01,2025-03-08 23:19:07
34,安徽,蚌埠,102,轻度污染,76,PM2.5,2021-01-01,2025-03-08 23:19:07
35,山西,临汾,100,良,46,PM10,2021-01-01,2025-03-08 23:19:07
