rank,province,city,aqi,quality_level,pm25,main_pollutant,date,timestamp
1,天津,天津,182,中度污染,137,PM2.5,2024-01-01,2025-03-09 00:08:15
1,天津,天津,182,中度污染,137,PM2.5,2024-01-01,2025-03-09 00:08:15
2,河北,唐山,172,中度污染,130,PM2.5,2024-01-01,2025-03-09 00:08:15
3,河北,廊坊,155,中度污染,118,PM2.5,2024-01-01,2025-03-09 00:08:15
4,辽宁,沈阳,152,中度污染,116,PM2.5,2024-01-01,2025-03-09 00:08:15
5,山东,潍坊,152,中度污染,116,PM2.5,2024-01-01,2025-03-09 00:08:15
6,吉林,长春,152,中度污染,116,PM2.5,2024-01-01,2025-03-09 00:08:15
7,湖北,随州,145,轻度污染,111,PM2.5,2024-01-01,2025-03-09 00:08:15
8,山东,东营,143,轻度污染,109,PM2.5,2024-01-01,2025-03-09 00:08:15
9,辽宁,朝阳,134,轻度污染,102,PM2.5,2024-01-01,2025-03-09 00:08:15
10,辽宁,锦州,134,轻度污染,102,PM2.5,2024-01-01,2025-03-09 00:08:15
11,河北,秦皇岛,129,轻度污染,98,PM2.5,2024-01-01,2025-03-09 00:08:15
12,辽宁,葫芦岛,124,轻度污染,94,PM2.5,2024-01-01,2025-03-09 00:08:15
13,北京,北京,123,轻度污染,93,PM2.5,2024-01-01,2025-03-09 00:08:15
14,山东,淄博,123,轻度污染,93,PM2.5,2024-01-01,2025-03-09 00:08:15
15,河北,保定,120,轻度污染,91,PM2.5,2024-01-01,2025-03-09 00:08:15
16,江苏,连云港,120,轻度污染,91,PM2.5,2024-01-01,2025-03-09 00:08:15
17,河北,沧州,119,轻度污染,90,PM2.5,2024-01-01,2025-03-09 00:08:15
18,湖北,孝感,117,轻度污染,88,PM2.5,2024-01-01,2025-03-09 00:08:15
19,江苏,泰州,117,轻度污染,88,PM2.5,2024-01-01,2025-03-09 00:08:15
20,山东,德州,114,轻度污染,86,PM2.5,2024-01-01,2025-03-09 00:08:15
21,山东,滨州,113,轻度污染,85,PM2.5,2024-01-01,2025-03-09 00:08:15
22,河南,开封,110,轻度污染,83,PM2.5,2024-01-01,2025-03-09 00:08:15
23,江苏,扬州,110,轻度污染,83,PM2.5,2024-01-01,2025-03-09 00:08:15
24,浙江,湖州,110,轻度污染,83,PM2.5,2024-01-01,2025-03-09 00:08:15
25,山东,青岛,110,轻度污染,83,PM2.5,2024-01-01,2025-03-09 00:08:15
26,山东,临沂,109,轻度污染,82,PM2.5,2024-01-01,2025-03-09 00:08:15
27,山东,泰安,109,轻度污染,82,PM2.5,2024-01-01,2025-03-09 00:08:15
28,安徽,蚌埠,108,轻度污染,81,PM2.5,2024-01-01,2025-03-09 00:08:15
29,辽宁,大连,107,轻度污染,80,PM2.5,2024-01-01,2025-03-09 00:08:15
30,江苏,淮安,105,轻度污染,79,PM2.5,2024-01-01,2025-03-09 00:08:15
31,安徽,滁州,105,轻度污染,79,PM2.5,2024-01-01,2025-03-09 00:08:15
32,江苏,镇江,104,轻度污染,78,PM2.5,2024-01-01,2025-03-09 00:08:15
33,陕西,宝鸡,103,轻度污染,77,PM2.5,2024-01-01,2025-03-09 00:08:15
34,浙江,杭州,103,轻度污染,77,PM2.5,2024-01-01,2025-03-09 00:08:15
35,安徽,阜阳,103,轻度污染,77,PM2.5,2024-01-01,2025-03-09 00:08:15
36,安徽,宿州,102,轻度污染,76,PM2.5,2024-01-01,2025-03-09 00:08:15
37,江苏,常州,102,轻度污染,76,PM2.5,2024-01-01,2025-03-09 00:08:15
38,山东,日照,102,轻度污染,76,PM2.5,2024-01-01,2025-03-09 00:08:15
39,山东,济宁,102,轻度污染,76,PM2.5,2024-01-01,2025-03-09 00:08:15
40,山东,济南,100,良,75,PM2.5,2024-01-01,2025-03-09 00:08:15
41,山东,聊城,100,良,75,PM2.5,2024-01-01,2025-03-09 00:08:15
42,山西,临汾,99,良,46,PM10,2024-01-01,2025-03-09 00:08:15
43,山东,枣庄,99,良,74,PM2.5,2024-01-01,2025-03-09 00:08:15
44,江苏,南京,98,良,73,PM2.5,2024-01-01,2025-03-09 00:08:15
45,安徽,淮南,98,良,73,PM2.5,2024-01-01,2025-03-09 00:08:15
46,安徽,芜湖,98,良,73,PM2.5,2024-01-01,2025-03-09 00:08:15
47,江苏,宿迁,97,良,72,PM2.5,2024-01-01,2025-03-09 00:08:15
48,江苏,盐城,97,良,72,PM2.5,2024-01-01,2025-03-09 00:08:15
49,河南,周口,95,良,71,PM2.5,2024-01-01,2025-03-09 00:08:15
50,河北,邢台,95,良,71,PM2.5,2024-01-01,2025-03-09 00:08:15
51,河南,商丘,94,良,70,PM2.5,2024-01-01,2025-03-09 00:08:15
52,河南,平顶山,94,良,70,PM2.5,2024-01-01,2025-03-09 00:08:15
53,河南,濮阳,94,良,70,PM2.5,2024-01-01,2025-03-09 00:08:15
54,江苏,徐州,93,良,69,PM2.5,2024-01-01,2025-03-09 00:08:15
55,山东,菏泽,93,良,69,PM2.5,2024-01-01,2025-03-09 00:08:15
56,陕西,咸阳,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
57,河南,安阳,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
58,湖北,宜昌,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
59,安徽,宣城,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
60,河北,衡水,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
61,安徽,马鞍山,92,良,68,PM2.5,2024-01-01,2025-03-09 00:08:15
62,安徽,合肥,90,良,67,PM2.5,2024-01-01,2025-03-09 00:08:15
63,山西,吕梁,89,良,49,PM10,2024-01-01,2025-03-09 00:08:15
64,河北,承德,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
65,安徽,淮北,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
66,浙江,绍兴,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
67,江苏,苏州,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
68,湖北,襄阳,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
69,河北,邯郸,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
70,河南,鹤壁,89,良,66,PM2.5,2024-01-01,2025-03-09 00:08:15
71,江苏,南通,87,良,64,PM2.5,2024-01-01,2025-03-09 00:08:15
72,内蒙古,呼和浩特,87,良,51,PM10,2024-01-01,2025-03-09 00:08:15
73,河南,新乡,87,良,64,PM2.5,2024-01-01,2025-03-09 00:08:15
74,安徽,六安,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
75,甘肃,兰州,85,良,63,PM10,2024-01-01,2025-03-09 00:08:15
76,黑龙江,哈尔滨,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
77,江苏,无锡,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
78,河南,洛阳,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
79,河南,漯河,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
80,河北,石家庄,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
81,湖北,荆州,85,良,63,PM2.5,2024-01-01,2025-03-09 00:08:15
82,河南,郑州,84,良,62,PM2.5,2024-01-01,2025-03-09 00:08:15
83,安徽,亳州,82,良,60,PM2.5,2024-01-01,2025-03-09 00:08:15
84,河南,南阳,82,良,60,PM2.5,2024-01-01,2025-03-09 00:08:15
85,山西,忻州,82,良,60,PM2.5,2024-01-01,2025-03-09 00:08:15
86,宁夏,银川,82,良,53,PM10,2024-01-01,2025-03-09 00:08:15
87,内蒙古,包头,81,良,41,PM10,2024-01-01,2025-03-09 00:08:15
88,安徽,安庆,80,良,59,PM2.5,2024-01-01,2025-03-09 00:08:15
89,山西,阳泉,80,良,59,PM2.5,2024-01-01,2025-03-09 00:08:15
90,浙江,嘉兴,79,良,58,PM2.5,2024-01-01,2025-03-09 00:08:15
91,四川,泸州,79,良,58,PM2.5,2024-01-01,2025-03-09 00:08:15
92,湖北,荆门,79,良,58,PM2.5,2024-01-01,2025-03-09 00:08:15
93,河南,许昌,79,良,58,PM2.5,2024-01-01,2025-03-09 00:08:15
94,湖北,武汉,78,良,57,PM2.5,2024-01-01,2025-03-09 00:08:15
95,安徽,池州,77,良,56,PM2.5,2024-01-01,2025-03-09 00:08:15
96,河南,焦作,77,良,56,PM2.5,2024-01-01,2025-03-09 00:08:15
97,湖南,湘潭,75,良,55,PM2.5,2024-01-01,2025-03-09 00:08:15
98,河南,三门峡,74,良,54,PM2.5,2024-01-01,2025-03-09 00:08:15
99,浙江,台州,74,良,54,PM2.5,2024-01-01,2025-03-09 00:08:15
100,山西,太原,74,良,42,PM10,2024-01-01,2025-03-09 00:08:15
101,湖北,咸宁,73,良,53,PM2.5,2024-01-01,2025-03-09 00:08:15
102,山西,朔州,73,良,46,PM10,2024-01-01,2025-03-09 00:08:15
103,浙江,温州,73,良,53,PM2.5,2024-01-01,2025-03-09 00:08:15
104,安徽,铜陵,73,良,53,PM2.5,2024-01-01,2025-03-09 00:08:15
105,江西,九江,72,良,52,PM2.5,2024-01-01,2025-03-09 00:08:15
106,河南,驻马店,72,良,52,PM2.5,2024-01-01,2025-03-09 00:08:15
107,山西,运城,71,良,43,PM10,2024-01-01,2025-03-09 00:08:15
108,陕西,铜川,70,良,46,PM10,2024-01-01,2025-03-09 00:08:15
109,湖北,黄冈,70,良,51,PM2.5,2024-01-01,2025-03-09 00:08:15
110,河南,信阳,69,良,50,PM2.5,2024-01-01,2025-03-09 00:08:15
111,四川,广安,69,良,50,PM2.5,2024-01-01,2025-03-09 00:08:15
